Nr.crt.,Numar Anunt,Data Publicare,Denumire Autoritate contractanta,CUI,Judet,Tip Contract,Utilitati,Tip Procedura,Criteriu Atribuire,Valoare Estimata,Moneda,Modalitate Desfasurare,Trimis la OJEU,Fonduri Comunitare,Cod CPV,Denumire Cod CPV
521,156919,03.02.2015 01:30,COMUNA BOLINTIN DEAL,5843129,Giurgiu,Servicii,NU,Negociere,Pretul cel mai scazut,"3,400,000.00",RON,Offline,DA,NU,66113000-5,Servicii de acordare de credit (Rev.2)
522,156921,03.02.2015 01:30,Editura Hargita Népe,RO18306453,Harghita,Servicii,NU,Licitatie deschisa,Oferta cea mai avantajoasa d.p.d.v. economic,"720,000.00",RON,Online,DA,NU,92312211-3,Servicii de agentii redactionale (Rev.2)
523,156929,03.02.2015 01:30,"Institutul National de Cercetare-Dezvoltare Aerospatiala ""Elie Carafoli"" - I.N.C.A.S. Bucuresti",RO 434670,Bucuresti,Furnizare,NU,Licitatie deschisa,Oferta cea mai avantajoasa d.p.d.v. economic,"2,671,380.00",RON,Offline,DA,DA,30211100-2,Supercomputer (Rev.2)
524,156901,03.02.2015 01:30,"Spitalul Universitar de Urgenta Militar Central ""Dr. Carol Davila""",4364594,Bucuresti,Servicii,NU,Licitatie deschisa,Pretul cel mai scazut,"738,720.00",RON,Offline,DA,NU,90524400-0,"Servicii de colectare, de transport si de eliminare a deseurilor spitalicesti (Rev.2)"
525,156907,03.02.2015 01:30,Municipiul Timisoara,14756536,Timis,Servicii,NU,Licitatie deschisa,Pretul cel mai scazut,"27,631,880.00",RON,Offline,DA,NU,77310000-6,Amenajare si intretinere de spatii verzi (Rev.2)
526,156902,03.02.2015 01:30,Municipiul Timisoara,14756536,Timis,Servicii,NU,Licitatie deschisa,Pretul cel mai scazut,"31,072,768.00",RON,Offline,DA,NU,77310000-6,Amenajare si intretinere de spatii verzi (Rev.2)
527,156915,03.02.2015 01:30,Municipiul Timisoara,14756536,Timis,Servicii,NU,Licitatie deschisa,Pretul cel mai scazut,"40,461,800.00",RON,Offline,DA,NU,77310000-6,Amenajare si intretinere de spatii verzi (Rev.2)
528,156908,03.02.2015 01:30,Municipiul Timisoara,14756536,Timis,Servicii,NU,Licitatie deschisa,Pretul cel mai scazut,"51,387,648.00",RON,Offline,DA,NU,77310000-6,Amenajare si intretinere de spatii verzi (Rev.2)
529,156909,03.02.2015 01:30,INSTITUTUL CLINIC FUNDENI,RO 4204003,Bucuresti,Furnizare,NU,Licitatie deschisa,Pretul cel mai scazut,"18,417,750.79",RON,Offline,DA,NU,33140000-3,Consumabile medicale (Rev.2)
530,156917,03.02.2015 01:30,Directia Sanitara Veterinara si pentru Siguranta Alimentelor Galati,3553277,Galati,Servicii,NU,Licitatie deschisa,Oferta cea mai avantajoasa d.p.d.v. economic,"4,880,368.40",RON,Offline,DA,NU,85200000-1,Servicii veterinare (Rev.2)
531,156947,03.02.2015 11:22,ORASUL GAESTI,4279774,Dambovita,Furnizare,NU,Licitatie deschisa,Pretul cel mai scazut,"129,440.00",RON,Offline,NU,DA,30213300-8,Computer de birou (Rev.2)
532,156958,03.02.2015 13:06,"UNIVERSITATEA DE MEDICINA SI FARMACIE ""GR.T.POPA"" IASI",4701100,Iasi,Furnizare,NU,Licitatie deschisa,Pretul cel mai scazut,"76,500.00",RON,Online,NU,DA,33126000-9,Aparate de stomatologie (Rev.2)
533,156934,03.02.2015 13:23,SPITALUL DE BOLNAVI CRONICI SI GERIATRIE SF LUCA,4340650,Bucuresti,Furnizare,NU,Licitatie deschisa,Pretul cel mai scazut,"180,800.00",RON,Offline,NU,NU,33696500-0,Reactivi de laborator (Rev.2)
534,156937,03.02.2015 13:29,SPITALUL DE BOLNAVI CRONICI SI GERIATRIE SF LUCA,4340650,Bucuresti,Furnizare,NU,Licitatie deschisa,Pretul cel mai scazut,"254,181.00",RON,Offline,NU,NU,33696500-0,Reactivi de laborator (Rev.2)
535,156928,03.02.2015 14:02,SOCIETATEA NATIONALA DE INCHIDERI MINE VALEA JIULUI SA,RO30859649,Hunedoara,Servicii,DA,Licitatie deschisa,Pretul cel mai scazut,"533,888.00",RON,Offline,NU,NU,60200000-0,Servicii de transport feroviar (Rev.2)
536,156932,03.02.2015 14:04,REGIA NATIONALA A PADURILOR - ROMSILVA RA,RO1590120,Bucuresti,Servicii,NU,Licitatie deschisa,Pretul cel mai scazut,"10,500.00",RON,Online,NU,NU,60100000-9,Servicii de transport rutier (Rev.2)
537,156938,03.02.2015 14:09,ENEL DISTRIBUTIE MUNTENIA S.A.,RO 14507322,Bucuresti,Furnizare,DA,Negociere,Pretul cel mai scazut,"329,544.00",RON,Offline,NU,NU,31221200-3,Relee de uz general (Rev.2)
538,156939,03.02.2015 14:10,CN Aeroporturi Bucuresti SA,RO26490194,Ilfov,Furnizare,DA,Licitatie deschisa,Pretul cel mai scazut,"250,000.00",EUR,Offline,NU,NU,34144000-8,Autovehicule cu utilizare speciala (Rev.2)
539,156943,03.02.2015 14:10,REGIA NATIONALA A PADURILOR - ROMSILVA RA,RO1590120,Bucuresti,Furnizare,NU,Licitatie deschisa,Pretul cel mai scazut,"540,000.00",RON,Online,NU,NU,24452000-7,Insecticide (Rev.2)
540,156944,03.02.2015 14:12,Societatea Comerciala COMPLEXUL ENERGETIC OLTENIA SA,RO 30267310,Gorj,Furnizare,DA,Licitatie deschisa,Pretul cel mai scazut,"118,684.88",RON,Offline,NU,NU,34631000-9,Piese pentru locomotive sau material rulant (Rev.2)
541,156945,03.02.2015 14:13,REGIA NATIONALA A PADURILOR - ROMSILVA RA,RO1590120,Bucuresti,Servicii,NU,Licitatie deschisa,Pretul cel mai scazut,"36,000.00",RON,Online,NU,NU,66514110-0,Servicii de asigurare a autovehiculelor (Rev.2)
542,156948,03.02.2015 14:15,ENEL DISTRIBUTIE DOBROGEA S.A.,RO 14500308,Constanta,Furnizare,DA,Negociere,Pretul cel mai scazut,"224,227.50",RON,Offline,NU,NU,31340000-1,"Accesorii de cablu, izolate (Rev.2)"
543,156951,03.02.2015 14:21,DIRECTIA NATIONALA ANTICORUPTIE,14838148,Bucuresti,Furnizare,NU,Licitatie deschisa,Pretul cel mai scazut,"314,000.00",RON,Online,NU,NU,32331500-7,Aparate de inregistrare (Rev.2)
544,156940,04.02.2015 01:30,"Spitalul Clinic Judetean de Urgenta""Sfantul Apostol Andrei""",3126853,Galati,Furnizare,NU,Licitatie deschisa,Pretul cel mai scazut,"6,765,840.00",RON,Online,DA,NU,33652100-6,Antineoplazice (Rev.2)
545,156942,04.02.2015 01:30,INSPECTORATUL GENERAL AL POLITIEI ROMANE,4453144,Bucuresti,Servicii,NU,Licitatie deschisa,Oferta cea mai avantajoasa d.p.d.v. economic,"942,720.00",RON,Offline,DA,NU,66516100-1,Servicii de asigurare de raspundere civila auto (Rev.2)
546,156953,04.02.2015 01:30,SPITALUL CLINIC JUDETEAN DE URGENTA SIBIU,4240898,Sibiu,Furnizare,NU,Licitatie deschisa,Pretul cel mai scazut,"13,866,193.85",RON,Offline,DA,DA,33111720-4,Aparate de angiografie (Rev.2)
547,156966,04.02.2015 01:30,JUDETUL VALCEA,2540929,Valcea,Furnizare,NU,Licitatie deschisa,Pretul cel mai scazut,"749,366.00",RON,Online,DA,DA,39700000-9,Aparate de uz casnic (Rev.2)
548,156941,04.02.2015 01:30,PENITENCIARUL AIUD,24920627,Alba,Furnizare,NU,Licitatie deschisa,Pretul cel mai scazut,"169,613.00",RON,Offline,DA,NU,44100000-1,Materiale de constructii si articole conexe (Rev.2)
549,156933,04.02.2015 01:30,Societatea Comerciala COMPLEXUL ENERGETIC OLTENIA SA,RO 30267310,Gorj,Furnizare,DA,Licitatie deschisa,Pretul cel mai scazut,"2,600,409.90",RON,Offline,DA,NU,42419810-7,Piese pentru transportoare cu benzi (Rev.2)
550,156935,04.02.2015 01:30,Banca Nationala a Romaniei,R 361684,Bucuresti,Furnizare,NU,Licitatie deschisa,Pretul cel mai scazut,"2,167,009.69",RON,Online,DA,NU,30125100-2,Cartuse de toner (Rev.2)
551,156936,04.02.2015 01:30,SPITALUL DE BOLNAVI CRONICI SI GERIATRIE SF LUCA,4340650,Bucuresti,Servicii,NU,Licitatie deschisa,Pretul cel mai scazut,"600,000.00",RON,Online,DA,NU,90524400-0,"Servicii de colectare, de transport si de eliminare a deseurilor spitalicesti (Rev.2)"
552,156931,04.02.2015 01:30,Spitalul Clinic de Copii Brasov,4317738,Brasov,Furnizare,NU,Licitatie deschisa,Pretul cel mai scazut,"2,489,100.00",RON,Offline,DA,NU,33600000-6,Produse farmaceutice (Rev.2)
553,156949,04.02.2015 01:30,Consiliul Judetean Dâmbovita,4280205,Dambovita,Furnizare,NU,Licitatie deschisa,Pretul cel mai scazut,"4,743,175.00",RON,Online,DA,DA,48000000-8,Pachete software si sisteme informatice (Rev.2)
554,156959,04.02.2015 14:25,SPITALUL DE BOLNAVI CRONICI SI GERIATRIE SF LUCA,4340650,Bucuresti,Furnizare,NU,Licitatie deschisa,Pretul cel mai scazut,"481,130.00",RON,Offline,NU,NU,33696700-2,Reactivi pentru urologie (Rev.2)
555,156962,04.02.2015 14:25,SPITALUL CLINIC JUDETEAN MURES,24014380,Mures,Furnizare,NU,Licitatie deschisa,Pretul cel mai scazut,"259,433.25",RON,Offline,NU,NU,33696200-7,Reactivi pentru analize de sange (Rev.2)
556,156952,04.02.2015 14:34,Societatea Nationala de Gaze Naturale Romgaz S.A.,RO 14056826,Sibiu,Servicii,DA,Licitatie deschisa,Pretul cel mai scazut,"25,230.00",RON,Offline,NU,NU,50531200-8,Servicii de intretinere a aparatelor cu gaz (Rev.2)
557,156960,04.02.2015 14:48,REGIA NATIONALA A PADURILOR - ROMSILVA RA,RO1590120,Bucuresti,Servicii,NU,Licitatie deschisa,Pretul cel mai scazut,"520,000.00",RON,Online,NU,NU,60441000-1,Servicii de pulverizare aeriana (Rev.2)
558,156961,04.02.2015 14:56,REGIA NATIONALA A PADURILOR - ROMSILVA RA,RO1590120,Bucuresti,Furnizare,NU,Licitatie deschisa,Pretul cel mai scazut,"189,668.40",RON,Online,NU,NU,24452000-7,Insecticide (Rev.2)
559,156955,05.02.2015 01:30,CURTEA DE APEL BUCURESTI,17019105,Bucuresti,Servicii,NU,Licitatie deschisa,Pretul cel mai scazut,"2,562,768.00",RON,Online,DA,NU,50000000-5,Servicii de reparare si intretinere (Rev.2)
560,156967,05.02.2015 01:30,"SPITALUL JUDETEAN DE URGENTA ""SF. PANTELIMON"" FOCSANI",4350505,Vrancea,Furnizare,NU,Licitatie deschisa,Pretul cel mai scazut,"6,845,477.88",RON,Online,DA,NU,33651400-2,Antivirale pentru uz sistemic (Rev.2)
561,156969,05.02.2015 01:30,Societatea Comerciala COMPLEXUL ENERGETIC OLTENIA SA,RO 30267310,Gorj,Furnizare,DA,Licitatie deschisa,Oferta cea mai avantajoasa d.p.d.v. economic,"11,209,036.78",RON,Offline,DA,NU,44921300-5,Piatra calcaroasa (Rev.2)
562,156963,05.02.2015 01:30,"SPITALUL JUDETEAN DE URGENTA""DR. CONSTANTIN OPRIS"" BAIA MARE",3694594,Maramures,Furnizare,NU,Licitatie deschisa,Pretul cel mai scazut,"5,098,450.88",RON,Online,DA,NU,33652100-6,Antineoplazice (Rev.2)
563,156968,05.02.2015 01:30,SECTOR 3 (PRIMARIA SECTOR 3 BUCURESTI),4420465,Bucuresti,Furnizare,NU,Licitatie deschisa,Pretul cel mai scazut,"1,062,532.26",RON,Online,DA,NU,09134200-9,Motorina (Rev.2)
564,156964,05.02.2015 01:30,SOCIETATEA NATIONALA DE INCHIDERI MINE VALEA JIULUI SA,RO30859649,Hunedoara,Servicii,DA,Licitatie deschisa,Pretul cel mai scazut,"1,924,702.00",RON,Offline,DA,NU,60170000-0,Inchiriere de vehicule de transport de persoane cu sofer (Rev.2)
565,156956,05.02.2015 01:30,SPITALUL UNIVERSITAR DE URGENTA BUCURESTI,4283570,Bucuresti,Servicii,NU,Licitatie deschisa,Pretul cel mai scazut,"3,034,560.00",RON,Online,DA,NU,79521000-2,Servicii de fotocopiere (Rev.2)
566,156950,05.02.2015 01:30,"COMPANIA NATIONALA ""ADMINISTRATIA PORTURILOR MARITIME"" SA CONSTANTA",11062831,Constanta,Servicii,DA,Licitatie deschisa,Pretul cel mai scazut,"522,000.00",EUR,Offline,DA,NU,50241100-7,Servicii de reparare a navelor (Rev.2)
567,156983,05.02.2015 01:30,INSTITUTUL NATIONAL DE CERCETARE-DEZVOLTARE PENTRU OPTOELECTRONICA - INOE 2000,RO 9113623,Ilfov,Furnizare,NU,Licitatie deschisa,Pretul cel mai scazut,"192,500.00",USD,Offline,DA,DA,38424000-3,Echipament de masurare si de control (Rev.2)
568,156954,05.02.2015 01:30,Spitalulul Clinic de Ortopedie Traumatologie si TBC Osteoarticular Foisor,5062357,Bucuresti,Furnizare,NU,Licitatie deschisa,Pretul cel mai scazut,"2,880,539.50",RON,Online,DA,NU,33696200-7,Reactivi pentru analize de sange (Rev.2)
569,156973,05.02.2015 01:30,Inspectoratul General pentru Situatii de Urgenta,RO 4203997,Bucuresti,Servicii,NU,Licitatie deschisa,Pretul cel mai scazut,"6,561,276.22",RON,Online,DA,DA,72212600-5,Servicii de dezvoltare de software pentru baze de date si operare (Rev.2)
570,156965,05.02.2015 01:30,REGIA NATIONALA A PADURILOR - ROMSILVA RA,RO1590120,Bucuresti,Servicii,NU,Licitatie deschisa,Pretul cel mai scazut,"1,264,281.00",RON,Online,DA,NU,77200000-2,Servicii pentru silvicultura (Rev.2)
571,156957,05.02.2015 01:30,ADMINISTRATIA NATIONALA  APELE ROMANE,RO 24326056,Bucuresti,Furnizare,NU,Licitatie deschisa,Pretul cel mai scazut,"16,721,000.00",RON,Offline,DA,NU,43211000-5,Buldozere (Rev.2)
572,156992,05.02.2015 09:53,REGIA NATIONALA A PADURILOR - ROMSILVA RA,RO1590120,Bucuresti,Furnizare,NU,Licitatie deschisa,Pretul cel mai scazut,"35,650.00",RON,Online,NU,NU,03111000-2,Seminte (Rev.2)
573,156971,05.02.2015 13:00,METROREX S.A.,RO 13863739,Bucuresti,Servicii,DA,Licitatie deschisa,Pretul cel mai scazut,"1,466,173.44",RON,Offline,NU,NU,66110000-4,Servicii bancare (Rev.2)
574,156985,05.02.2015 13:07,Autoritatea Nationala pentru Administrare si Reglementare in Comunicatii,14751237,Bucuresti,Furnizare,NU,Licitatie deschisa,Pretul cel mai scazut,"136,000.00",RON,Offline,NU,NU,34300000-0,Piese si accesorii pentru vehicule si pentru motoare de vehicule (Rev.2)
575,156976,05.02.2015 13:16,Banca Nationala a Romaniei,R 361684,Bucuresti,Furnizare,NU,Licitatie deschisa,Pretul cel mai scazut,"14,880.00",RON,Offline,NU,NU,31500000-1,Aparatura de iluminat si lampi electrice (Rev.2)
576,156974,05.02.2015 13:17,REGIA NATIONALA A PADURILOR - ROMSILVA RA,RO1590120,Bucuresti,Furnizare,NU,Licitatie deschisa,Pretul cel mai scazut,"18,368.10",RON,Online,NU,NU,39831240-0,Produse de curatenie (Rev.2)
577,156982,05.02.2015 13:21,"COMPANIA NATIONALA DE TRANSPORT AL ENERGIEI ELECTRICE ""TRANSELECTRICA"" S.A.",RO 13328043,Bucuresti,Servicii,DA,Licitatie deschisa,Pretul cel mai scazut,"651,967.16",RON,Offline,NU,NU,90910000-9,Servicii de curatenie (Rev.2)
578,156987,05.02.2015 13:22,REGIA NATIONALA A PADURILOR - ROMSILVA RA,RO1590120,Bucuresti,Furnizare,NU,Licitatie deschisa,Pretul cel mai scazut,"210,573.00",RON,Offline,NU,NU,34300000-0,Piese si accesorii pentru vehicule si pentru motoare de vehicule (Rev.2)
579,156988,05.02.2015 13:23,REGIA NATIONALA A PADURILOR - ROMSILVA RA,RO1590120,Bucuresti,Furnizare,NU,Licitatie deschisa,Pretul cel mai scazut,"117,202.00",RON,Online,NU,NU,24440000-0,Diverse tipuri de ingrasaminte (Rev.2)
580,156995,05.02.2015 13:34,Societatea Comerciala COMPLEXUL ENERGETIC OLTENIA SA,RO 30267310,Gorj,Servicii,DA,Licitatie deschisa,Pretul cel mai scazut,"171,800.00",RON,Offline,NU,NU,50312300-8,Repararea si intretinerea echipamentului de retea de date (Rev.2)
581,156970,06.02.2015 01:30,"SPITALUL MUNICIPAL DE URGENTA ""ELENA BELDIMAN""  BARLAD",4446481,Vaslui,Furnizare,NU,Licitatie deschisa,Pretul cel mai scazut,"2,634,178.00",RON,Online,DA,NU,33651400-2,Antivirale pentru uz sistemic (Rev.2)
582,156994,06.02.2015 01:30,SPITALUL UNIVERSITAR DE URGENTA BUCURESTI,4283570,Bucuresti,Servicii,NU,Licitatie deschisa,Pretul cel mai scazut,"780,363.00",RON,Online,DA,NU,50421200-4,Servicii de reparare si de intretinere a echipamentului radiologic (Rev.2)
583,156979,06.02.2015 01:30,Spitalul General C.F. nr. 2 Bucuresti,4505316,Bucuresti,Furnizare,NU,Licitatie deschisa,Pretul cel mai scazut,"1,947,864.72",RON,Offline,DA,NU,33696300-8,Reactivi chimici (Rev.2)
584,157011,06.02.2015 01:30,INSTITUTUL NATIONAL DE CERCETARE-DEZVOLTARE PENTRU PROTECTIA MEDIULUI,27282590,Bucuresti,Furnizare,NU,Licitatie deschisa,Pretul cel mai scazut,"2,253,560.00",RON,Online,DA,DA,38000000-5,"Echipamente de laborator, optice si de precizie (cu exceptia ochelarilor) (Rev.2)"
585,156993,06.02.2015 01:30,INSTITUTUL NATIONAL DE HEMATOLOGIE  TRANSFUZIONALA Prof.Dr.C.T.Nicolau,4602092,Bucuresti,Servicii,NU,Licitatie deschisa,Pretul cel mai scazut,"1,724,990.40",RON,Offline,DA,NU,90900000-6,Servicii de curatenie si igienizare (Rev.2)
586,156991,06.02.2015 01:30,INSTITUTUL NATIONAL DE STATISTICA,7593088,Bucuresti,Servicii,NU,Licitatie deschisa,Pretul cel mai scazut,"1,117,726.08",RON,Online,DA,NU,50800000-3,Diverse servicii de intretinere si de reparare (Rev.2)
587,156980,06.02.2015 01:30,SOCIETATEA COMERCIALA  AQUACARAS S.A.  RESITA,R 16868757,Caras-Severin,Servicii,DA,Licitatie deschisa,Pretul cel mai scazut,"20,800,000.00",RON,Offline,DA,NU,66113000-5,Servicii de acordare de credit (Rev.2)
588,156975,06.02.2015 01:30,Ministerul Apararii Nationale - U.M. 02022 Constanta,14810074,Constanta,Servicii,NU,Negociere,Pretul cel mai scazut,"2,506,968.47",RON,Offline,DA,NU,50241000-6,Servicii de reparare si de intretinere a navelor (Rev.2)
589,156981,06.02.2015 01:30,Ministerul Apararii Nationale - U.M. 02022 Constanta,14810074,Constanta,Servicii,NU,Negociere,Pretul cel mai scazut,"1,326,606.04",RON,Offline,DA,NU,50241000-6,Servicii de reparare si de intretinere a navelor (Rev.2)
590,156986,06.02.2015 01:30,SPITALUL JUDETEAN DE URGENTA VALCEA,2540589,Valcea,Furnizare,NU,Licitatie deschisa,Pretul cel mai scazut,"830,625.00",RON,Offline,DA,NU,24455000-8,Dezinfectanti (Rev.2)
591,156984,06.02.2015 01:30,SPITALUL DE URGENTA PETROSANI,4374873,Hunedoara,Furnizare,NU,Licitatie deschisa,Pretul cel mai scazut,"6,688,500.00",RON,Offline,DA,NU,33181520-3,Consumabile pentru dializa renala (Rev.2)
592,156972,06.02.2015 01:30,SPITALUL UNIVERSITAR DE URGENTA BUCURESTI,4283570,Bucuresti,Furnizare,NU,Licitatie deschisa,Pretul cel mai scazut,"4,923,000.00",RON,Online,DA,NU,15811100-7,Paine (Rev.2)
593,156996,06.02.2015 01:30,INSTITUTUL NATIONAL DE CERCETARE-DEZVOLTARE PENTRU PROTECTIA MEDIULUI,27282590,Bucuresti,Furnizare,NU,Licitatie deschisa,Pretul cel mai scazut,"1,242,000.00",RON,Online,DA,DA,38433300-2,Analizoare de spectru (Rev.2)
594,156978,06.02.2015 01:30,"COMPANIA NATIONALA DE TRANSPORT AL ENERGIEI ELECTRICE ""TRANSELECTRICA"" S.A.",RO 13328043,Bucuresti,Furnizare,DA,Licitatie deschisa,Pretul cel mai scazut,"3,669,514.00",RON,Offline,DA,NU,48510000-6,Pachete software de comunicatii (Rev.2)
595,156990,06.02.2015 01:30,DIRECTIA SANITARA VETERINARA SI PENTRU SIGURANTA ALIMENTELOR ALBA,5823920,Alba,Servicii,NU,Licitatie deschisa,Oferta cea mai avantajoasa d.p.d.v. economic,"868,088.32",RON,Offline,DA,NU,85200000-1,Servicii veterinare (Rev.2)
596,156997,06.02.2015 01:30,SPITALUL UNIVERSITAR DE URGENTA ELIAS,4192537,Bucuresti,Furnizare,NU,Licitatie deschisa,Pretul cel mai scazut,"669,953.28",RON,Offline,DA,NU,33690000-3,Diverse medicamente (Rev.2)
597,157004,06.02.2015 11:50,Spitalul Clinic Judetean de Urgenta Targu.Mures,4323209,Mures,Servicii,NU,Licitatie deschisa,Pretul cel mai scazut,"411,048.00",RON,Offline,NU,NU,50421000-2,Servicii de reparare si de intretinere a echipamentului medical (Rev.2)
598,157006,06.02.2015 11:54,Spitalul Clinic Judetean de Urgenta Targu.Mures,4323209,Mures,Furnizare,NU,Licitatie deschisa,Pretul cel mai scazut,"569,772.80",RON,Offline,NU,NU,33696500-0,Reactivi de laborator (Rev.2)
599,157009,06.02.2015 12:04,"SPITALUL JUDETEAN DE URGENTA ""SF. PANTELIMON"" FOCSANI",4350505,Vrancea,Furnizare,NU,Licitatie deschisa,Pretul cel mai scazut,"268,054.80",RON,Online,NU,NU,33621400-3,Substituenti de plasma sanguina si solutii pentru perfuzii (Rev.2)
600,157022,06.02.2015 12:14,Autoritatea Nationala pentru Administrare si Reglementare in Comunicatii,14751237,Bucuresti,Furnizare,NU,Licitatie deschisa,Pretul cel mai scazut,"50,400.00",RON,Offline,NU,NU,34300000-0,Piese si accesorii pentru vehicule si pentru motoare de vehicule (Rev.2)
601,157024,06.02.2015 12:15,SPITALUL JUDETEAN DE URGENTA BUZAU,4055750,Buzau,Furnizare,NU,Licitatie deschisa,Pretul cel mai scazut,"582,750.00",RON,Online,NU,NU,33690000-3,Diverse medicamente (Rev.2)
602,157001,06.02.2015 12:16,Societatea Comerciala COMPLEXUL ENERGETIC OLTENIA SA,RO 30267310,Gorj,Furnizare,DA,Licitatie deschisa,Pretul cel mai scazut,"227,518.41",RON,Offline,NU,NU,42419800-4,Piese pentru transportoare (Rev.2)
603,157002,06.02.2015 12:16,Electrocentrale Bucuresti S.A.,RO 15189596,Bucuresti,Servicii,DA,Licitatie deschisa,Pretul cel mai scazut,"27,662.00",RON,Online,NU,NU,50410000-2,"Servicii de reparare si de intretinere a aparatelor de masurare, de testare si de control (Rev.2)"
604,157010,06.02.2015 12:18,"Institutul de Boli Infectioase ""Prof. Dr. Matei Bals""",9524980,Bucuresti,Furnizare,NU,Licitatie deschisa,Pretul cel mai scazut,"339,000.00",RON,Offline,NU,NU,33696000-5,Reactivi si produse de contrast (Rev.2)
605,157012,06.02.2015 12:18,"COMPANIA NATIONALA DE TRANSPORT AL ENERGIEI ELECTRICE ""TRANSELECTRICA"" S.A.",RO 13328043,Bucuresti,Servicii,DA,Licitatie deschisa,Pretul cel mai scazut,"200,000.00",RON,Offline,NU,NU,71335000-5,Studii tehnice (Rev.2)
606,157013,06.02.2015 12:20,CN Aeroporturi Bucuresti SA,RO26490194,Ilfov,Servicii,DA,Licitatie deschisa,Pretul cel mai scazut,"43,800.00",EUR,Offline,NU,NU,50730000-1,Servicii de reparare si de intretinere a grupurilor de refrigerare (Rev.2)
607,157026,06.02.2015 14:59,APASERV SATU MARE S.A.,RO16844952,Satu Mare,Lucrari,DA,Licitatie deschisa,Pretul cel mai scazut,"4,120,094.00",RON,Online,NU,DA,45231300-8,Lucrari de constructii de conducte de apa si de canalizare a apelor reziduale la mare distanta (Rev.2)
608,156998,07.02.2015 01:30,DIRECTIA GENERALA DE ASISTENTA SOCIALA SI PROTECTIA COPILULUI BIHOR,17091429,Bihor,Servicii,NU,Licitatie deschisa,Oferta cea mai avantajoasa d.p.d.v. economic,"2,031,120.00",RON,Offline,DA,NU,85311100-3,Servicii sociale pentru persoane in varsta (Rev.2)
609,157007,07.02.2015 01:30,Spitalul Clinic Judetean de Urgenta Targu.Mures,4323209,Mures,Furnizare,NU,Licitatie deschisa,Pretul cel mai scazut,"1,486,315.14",RON,Offline,DA,NU,33696500-0,Reactivi de laborator (Rev.2)
610,157003,07.02.2015 01:30,Spitalul Clinic Judetean de Urgenta Targu.Mures,4323209,Mures,Furnizare,NU,Licitatie deschisa,Pretul cel mai scazut,"1,858,081.23",RON,Offline,DA,NU,33696500-0,Reactivi de laborator (Rev.2)
611,157029,07.02.2015 01:30,SPITALUL JUDETEAN SALAJ,4291719,Salaj,Furnizare,NU,Licitatie deschisa,Pretul cel mai scazut,"1,746,232.50",RON,Offline,DA,NU,33621000-9,Medicamente pentru sange si pentru organele hematopoietice (Rev.2)
612,157005,07.02.2015 01:30,Spitalul Clinic Judetean de Urgenta Targu.Mures,4323209,Mures,Furnizare,NU,Licitatie deschisa,Pretul cel mai scazut,"1,138,095.00",RON,Offline,DA,NU,33696500-0,Reactivi de laborator (Rev.2)
613,157017,07.02.2015 01:30,SPITALUL MUNICIPAL DR. ALEXANDRU SIMIONESCU HUNEDOARA,5453860,Hunedoara,Furnizare,NU,Licitatie deschisa,Pretul cel mai scazut,"950,888.88",RON,Offline,DA,NU,33621100-0,Antitrombotice (Rev.2)
614,157016,07.02.2015 01:30,SPITALUL MUNICIPAL DR. ALEXANDRU SIMIONESCU HUNEDOARA,5453860,Hunedoara,Furnizare,NU,Licitatie deschisa,Pretul cel mai scazut,"640,296.00",RON,Offline,DA,NU,33621400-3,Substituenti de plasma sanguina si solutii pentru perfuzii (Rev.2)
615,157000,07.02.2015 01:30,Primaria Rosiorii de Vede,4652694,Teleorman,Servicii,NU,Licitatie deschisa,Pretul cel mai scazut,"844,399.36",RON,Offline,DA,NU,66113000-5,Servicii de acordare de credit (Rev.2)
616,157008,07.02.2015 01:30,I.N.C.D. pentru Microtehnologie - I.M.T Bucuresti,RO1154,Ilfov,Furnizare,NU,Licitatie deschisa,Oferta cea mai avantajoasa d.p.d.v. economic,"900,000.00",EUR,Offline,DA,DA,43329000-5,Ansambluri de echipamente (Rev.2)
617,157014,07.02.2015 01:30,DIRECTIA GENERALA REGIONALA A FINANTELOR PUBLICE GALATI,3127190,Galati,Servicii,NU,Licitatie deschisa,Pretul cel mai scazut,"3,666,403.74",RON,Online,DA,NU,79713000-5,Servicii de paza (Rev.2)
618,157023,07.02.2015 01:30,Spitalul Judetean de Urgenta Slobozia,4231768,Ialomita,Furnizare,NU,Licitatie deschisa,Pretul cel mai scazut,"28,452,669.20",RON,Online,DA,NU,33690000-3,Diverse medicamente (Rev.2)
619,157015,07.02.2015 01:30,SPITALUL MUNICIPAL DR. ALEXANDRU SIMIONESCU HUNEDOARA,5453860,Hunedoara,Furnizare,NU,Licitatie deschisa,Pretul cel mai scazut,"3,197,173.20",RON,Offline,DA,NU,33651100-9,Antibacterieni pentru uz sistemic (Rev.2)
620,157043,07.02.2015 01:30,"Institutul National de Cercetare-Dezvoltare Aerospatiala ""Elie Carafoli"" - I.N.C.A.S. Bucuresti",RO 434670,Bucuresti,Furnizare,NU,Licitatie deschisa,Oferta cea mai avantajoasa d.p.d.v. economic,"667,845.00",RON,Offline,DA,DA,38520000-6,Scanere (Rev.2)
621,157021,07.02.2015 01:30,SPITALUL JUDETEAN SATU MARE,3963722,Satu Mare,Furnizare,NU,Licitatie deschisa,Pretul cel mai scazut,"1,051,357.32",RON,Online,DA,NU,33692400-1,Solutii pentru perfuzii (Rev.2)
